text,category
upi ajio clothing order payment,Shopping
txn cafe bill id,Food
card uber ride ref,Transport
bank cafe bill payment,Food
bank cash withdrawn from atm charge,Cash Withdrawal
payment broadband payment debit,Utilities
debit gas bill transaction debit,Utilities
debit atm withdrawal debit payment,Cash Withdrawal
bank upi transfer to friend ref,Transfer
txn atm cash withdrawal txn,Cash Withdrawal
payment wifi bill debit,Utilities
pos atm cash withdrawal payment,Cash Withdrawal
debit fund transfer txn,Transfer
debit mobile recharge payment ref,Utilities
txn water bill paid ref,Utilities
card amazon order charge,Shopping
bank atm cash withdrawal txn,Cash Withdrawal
upi water bill paid charge,Utilities
pos swiggy food order ref,Food
upi atm wdl ref,Cash Withdrawal
payment lunch payment ref,Food
card zomato food order txn,Food
upi ola cab ride txn,Transport
bank zomato food order ref,Food
payment reward points credit id,Other
pos meesho online order charge,Shopping
upi jio recharge ref,Utilities
card cab booking charge txn,Transport
debit metro ticket payment ref,Transport
txn ajio clothing order txn,Shopping
payment cab booking charge id,Transport
txn online shopping payment ref,Shopping
debit meesho online order charge,Shopping
payment atm withdrawal debit debit,Cash Withdrawal
payment upi payment to contact payment,Transfer
card cash withdrawn from atm ref,Cash Withdrawal
debit upi payment to contact ref,Transfer
card shopping mall purchase ref,Shopping
upi refund received payment,Other
payment upi payment to contact debit,Transfer
bank flipkart order id,Shopping
bank atm txn payment,Cash Withdrawal
debit online shopping payment debit,Shopping
debit meesho online order payment,Shopping
payment cashback credited debit,Other
bank flipkart order txn,Shopping
pos dinner at restaurant txn,Food
payment ola cab ride ref,Transport
pos cafe bill charge,Food
debit cash withdrawal atm charge,Cash Withdrawal
upi jio recharge payment,Utilities
txn electricity bill payment ref,Utilities
pos taxi fare payment ref,Transport
debit wifi bill ref,Utilities
upi unknown transaction payment,Other
bank unknown transaction ref,Other
upi auto rickshaw ride ref,Transport
txn ola cab ride charge,Transport
card upi payment to contact id,Transfer
pos money sent to account payment,Transfer
debit atm txn debit,Cash Withdrawal
debit wifi bill id,Utilities
txn meesho online order payment,Shopping
card broadband payment id,Utilities
debit auto rickshaw ride charge,Transport
debit unknown transaction id,Other
upi food delivery charge txn,Food
debit dinner at restaurant charge,Food
pos lunch payment ref,Food
pos upi transfer to friend debit,Transfer
upi gas bill transaction txn,Utilities
payment meesho online order txn,Shopping
bank jio recharge charge,Utilities
payment atm wdl ref,Cash Withdrawal
payment swiggy food order payment,Food
payment refund received charge,Other
debit upi transfer to friend payment,Transfer
pos jio recharge id,Utilities
bank water bill paid ref,Utilities
pos swiggy food order ref,Food
bank salary credit ref,Other
pos interest credited id,Other
debit money sent to account id,Transfer
pos cafe bill txn,Food
card myntra fashion purchase ref,Shopping
debit neft transfer id,Transfer
upi dinner at restaurant id,Food
bank dinner at restaurant payment,Food
upi cash withdrawal atm charge,Cash Withdrawal
payment bus ticket ref,Transport
pos atm withdrawal debit debit,Cash Withdrawal
card taxi fare payment ref,Transport
card bank transfer debit txn,Transfer
card neft transfer debit,Transfer
card atm txn txn,Cash Withdrawal
txn flipkart order ref,Shopping
payment dinner at restaurant debit,Food
pos amazon order debit,Shopping
upi interest credited ref,Other
txn atm withdrawal debit ref,Cash Withdrawal
payment gas bill transaction ref,Utilities
txn ola cab ride id,Transport
txn cash withdrawal atm debit,Cash Withdrawal
card imps transfer id,Transfer
txn atm cash withdrawal txn,Cash Withdrawal
pos imps transfer payment,Transfer
debit jio recharge ref,Utilities
debit wifi bill charge,Utilities
upi food delivery charge ref,Food
payment neft transfer payment,Transfer
payment broadband payment id,Utilities
upi shopping mall purchase payment,Shopping
bank atm txn ref,Cash Withdrawal
upi cash withdrawn from atm payment,Cash Withdrawal
txn unknown transaction txn,Other
card upi payment to contact charge,Transfer
card upi transfer to friend charge,Transfer
payment cash withdrawn from atm ref,Cash Withdrawal
txn cash withdrawal atm txn,Cash Withdrawal
debit cab booking charge payment,Transport
payment unknown transaction debit,Other
pos atm wdl txn,Cash Withdrawal
bank ajio clothing order debit,Shopping
debit atm txn payment,Cash Withdrawal
payment cash withdrawal atm debit,Cash Withdrawal
debit amazon order payment,Shopping
txn bank transfer debit ref,Transfer
upi meesho online order charge,Shopping
upi lunch payment payment,Food
bank reward points credit txn,Other
txn water bill paid id,Utilities
payment mobile recharge payment payment,Utilities
pos fund transfer debit,Transfer
payment unknown transaction ref,Other
txn gas bill transaction charge,Utilities
upi swiggy food order charge,Food
payment water bill paid payment,Utilities
bank upi payment to contact ref,Transfer
pos shopping mall purchase id,Shopping
pos amazon order payment,Shopping
upi salary credit payment,Other
bank uber ride charge,Transport
debit atm txn payment,Cash Withdrawal
pos restaurant bill payment ref,Food
upi food delivery charge payment,Food
debit online shopping payment payment,Shopping
txn reward points credit id,Other
txn neft transfer debit,Transfer
payment flipkart order txn,Shopping
bank wifi bill txn,Utilities
bank cab booking charge ref,Transport
payment restaurant bill payment id,Food
debit unknown transaction payment,Other
pos auto rickshaw ride ref,Transport
payment cash withdrawn from atm id,Cash Withdrawal
card gas bill transaction ref,Utilities
upi neft transfer ref,Transfer
bank jio recharge id,Utilities
payment neft transfer payment,Transfer
upi lunch payment payment,Food
txn restaurant bill payment txn,Food
debit upi transfer to friend ref,Transfer
debit cash withdrawn from atm payment,Cash Withdrawal
upi cab booking charge payment,Transport
debit wifi bill id,Utilities
card salary credit debit,Other
bank imps transfer id,Transfer
debit reward points credit ref,Other
card meesho online order ref,Shopping
upi atm cash withdrawal id,Cash Withdrawal
debit money sent to account payment,Transfer
payment myntra fashion purchase txn,Shopping
debit uber ride charge,Transport
txn refund received debit,Other
txn imps transfer txn,Transfer
pos electricity bill payment id,Utilities
upi dinner at restaurant ref,Food
upi meesho online order ref,Shopping
card cab booking charge payment,Transport
bank cab booking charge debit,Transport
debit fund transfer payment,Transfer
payment fund transfer id,Transfer
debit restaurant bill payment payment,Food
debit ajio clothing order id,Shopping
pos imps transfer payment,Transfer
bank atm cash withdrawal charge,Cash Withdrawal
bank zomato food order txn,Food
txn cafe bill charge,Food
payment money sent to account id,Transfer
upi reward points credit payment,Other
upi upi transfer to friend id,Transfer
payment broadband payment charge,Utilities
bank zomato food order txn,Food
bank uber ride txn,Transport
txn zomato food order payment,Food
txn ajio clothing order debit,Shopping
bank uber ride charge,Transport
bank metro ticket payment charge,Transport
payment fund transfer payment,Transfer
bank bank transfer debit ref,Transfer
card lunch payment txn,Food
debit swiggy food order payment,Food
bank cash withdrawn from atm charge,Cash Withdrawal
bank wifi bill payment,Utilities
card ajio clothing order debit,Shopping
upi gas bill transaction debit,Utilities
txn online shopping payment charge,Shopping
bank interest credited id,Other
bank online shopping payment payment,Shopping
card broadband payment debit,Utilities
debit refund received debit,Other
txn upi payment to contact debit,Transfer
debit taxi fare payment payment,Transport
pos gas bill transaction txn,Utilities
card money sent to account debit,Transfer
payment refund received payment,Other
debit cash withdrawal atm txn,Cash Withdrawal
debit food delivery charge id,Food
card water bill paid debit,Utilities
pos refund received id,Other
upi flipkart order ref,Shopping
upi jio recharge debit,Utilities
card reward points credit ref,Other
debit neft transfer debit,Transfer
pos cash withdrawn from atm txn,Cash Withdrawal
pos unknown transaction charge,Other
payment restaurant bill payment ref,Food
txn zomato food order ref,Food
pos restaurant bill payment debit,Food
card money sent to account debit,Transfer
card fund transfer ref,Transfer
debit atm withdrawal debit debit,Cash Withdrawal
debit bank transfer debit txn,Transfer
txn neft transfer payment,Transfer
pos swiggy food order debit,Food
card cafe bill id,Food
txn reward points credit payment,Other
payment swiggy food order txn,Food
debit jio recharge payment,Utilities
payment unknown transaction id,Other
card amazon order ref,Shopping
txn uber ride debit,Transport
bank amazon order txn,Shopping
debit imps transfer charge,Transfer
pos reward points credit id,Other
pos atm wdl charge,Cash Withdrawal
upi lunch payment debit,Food
card uber ride id,Transport
txn lunch payment id,Food
txn metro ticket payment payment,Transport
pos taxi fare payment txn,Transport
bank cab booking charge charge,Transport
bank zomato food order id,Food
pos broadband payment debit,Utilities
upi money sent to account debit,Transfer
bank auto rickshaw ride payment,Transport
payment upi transfer to friend charge,Transfer
card upi payment to contact txn,Transfer
debit flipkart order ref,Shopping
bank upi transfer to friend debit,Transfer
pos jio recharge payment,Utilities
txn atm wdl debit,Cash Withdrawal
bank unknown transaction payment,Other
payment myntra fashion purchase ref,Shopping
txn cafe bill payment,Food
pos gas bill transaction txn,Utilities
upi upi payment to contact ref,Transfer
pos atm cash withdrawal payment,Cash Withdrawal
payment auto rickshaw ride txn,Transport
debit imps transfer id,Transfer
payment metro ticket payment txn,Transport
payment upi payment to contact ref,Transfer
payment zomato food order debit,Food
pos meesho online order payment,Shopping
pos zomato food order ref,Food
txn gas bill transaction payment,Utilities
debit cab booking charge charge,Transport
txn upi transfer to friend debit,Transfer
txn gas bill transaction charge,Utilities
txn restaurant bill payment ref,Food
upi cashback credited charge,Other
card electricity bill payment txn,Utilities
bank neft transfer ref,Transfer
card wifi bill txn,Utilities
card refund received payment,Other
card gas bill transaction ref,Utilities
upi cash withdrawal atm debit,Cash Withdrawal
debit wifi bill charge,Utilities
pos taxi fare payment payment,Transport
debit atm txn ref,Cash Withdrawal
payment bank transfer debit payment,Transfer
debit amazon order charge,Shopping
payment cash withdrawn from atm ref,Cash Withdrawal
bank shopping mall purchase payment,Shopping
debit reward points credit txn,Other
pos salary credit payment,Other
upi atm withdrawal debit txn,Cash Withdrawal
upi reward points credit payment,Other
card ajio clothing order debit,Shopping
pos broadband payment txn,Utilities
pos flipkart order id,Shopping
payment bank transfer debit charge,Transfer
debit electricity bill payment debit,Utilities
debit atm wdl charge,Cash Withdrawal
card atm wdl txn,Cash Withdrawal
pos dinner at restaurant debit,Food
card dinner at restaurant id,Food
payment ajio clothing order charge,Shopping
payment refund received id,Other
bank broadband payment txn,Utilities
txn auto rickshaw ride txn,Transport
payment atm cash withdrawal charge,Cash Withdrawal
card bank transfer debit payment,Transfer
upi reward points credit id,Other
card electricity bill payment payment,Utilities
upi flipkart order payment,Shopping
upi cab booking charge debit,Transport
upi reward points credit debit,Other
card bus ticket id,Transport
upi restaurant bill payment ref,Food
payment cashback credited charge,Other
txn interest credited ref,Other
payment flipkart order charge,Shopping
debit cashback credited charge,Other
txn bus ticket payment,Transport
pos metro ticket payment payment,Transport
txn cash withdrawn from atm charge,Cash Withdrawal
pos dinner at restaurant payment,Food
txn unknown transaction id,Other
debit dinner at restaurant ref,Food
debit taxi fare payment debit,Transport
card atm wdl id,Cash Withdrawal
bank metro ticket payment debit,Transport
txn jio recharge ref,Utilities
txn broadband payment payment,Utilities
payment jio recharge payment,Utilities
pos bank transfer debit charge,Transfer
txn myntra fashion purchase ref,Shopping
payment electricity bill payment txn,Utilities
upi reward points credit payment,Other
bank money sent to account txn,Transfer
debit money sent to account charge,Transfer
txn amazon order payment,Shopping
payment upi transfer to friend txn,Transfer
pos cash withdrawal atm debit,Cash Withdrawal
card myntra fashion purchase txn,Shopping
card gas bill transaction txn,Utilities
upi cash withdrawal atm debit,Cash Withdrawal
pos ajio clothing order charge,Shopping
card atm txn txn,Cash Withdrawal
pos ajio clothing order ref,Shopping
txn cab booking charge debit,Transport
debit metro ticket payment txn,Transport
debit food delivery charge debit,Food
pos broadband payment payment,Utilities
pos lunch payment debit,Food
payment upi payment to contact id,Transfer
upi imps transfer ref,Transfer
txn dinner at restaurant ref,Food
upi flipkart order debit,Shopping
upi uber ride id,Transport
payment swiggy food order charge,Food
upi interest credited payment,Other
card food delivery charge txn,Food
pos flipkart order debit,Shopping
txn atm withdrawal debit ref,Cash Withdrawal
card meesho online order id,Shopping
card electricity bill payment txn,Utilities
txn salary credit txn,Other
pos bank transfer debit txn,Transfer
txn ola cab ride id,Transport
debit atm txn charge,Cash Withdrawal
upi shopping mall purchase txn,Shopping
debit restaurant bill payment payment,Food
upi unknown transaction id,Other
card ola cab ride debit,Transport
upi unknown transaction payment,Other
bank money sent to account debit,Transfer
pos mobile recharge payment id,Utilities
txn myntra fashion purchase txn,Shopping
upi upi payment to contact debit,Transfer
bank atm wdl debit,Cash Withdrawal
txn cashback credited ref,Other
txn myntra fashion purchase charge,Shopping
txn salary credit debit,Other
upi fund transfer payment,Transfer
payment cafe bill debit,Food
debit electricity bill payment id,Utilities
txn zomato food order txn,Food
card auto rickshaw ride charge,Transport
txn fund transfer charge,Transfer
payment bus ticket txn,Transport
card metro ticket payment id,Transport
upi auto rickshaw ride ref,Transport
debit salary credit txn,Other
txn amazon order id,Shopping
debit broadband payment charge,Utilities
payment cash withdrawn from atm txn,Cash Withdrawal
payment broadband payment payment,Utilities
payment cafe bill debit,Food
payment upi transfer to friend txn,Transfer
debit myntra fashion purchase txn,Shopping
txn atm cash withdrawal id,Cash Withdrawal
payment uber ride charge,Transport
bank lunch payment payment,Food
bank taxi fare payment charge,Transport
upi imps transfer txn,Transfer
upi money sent to account charge,Transfer
debit ajio clothing order charge,Shopping
upi ola cab ride txn,Transport
txn food delivery charge debit,Food
bank reward points credit ref,Other
pos refund received txn,Other
debit online shopping payment id,Shopping
pos flipkart order txn,Shopping
payment atm withdrawal debit ref,Cash Withdrawal
txn metro ticket payment charge,Transport
txn salary credit id,Other
txn online shopping payment charge,Shopping
debit cash withdrawn from atm ref,Cash Withdrawal
txn myntra fashion purchase ref,Shopping
bank restaurant bill payment charge,Food
pos cafe bill payment,Food
pos uber ride payment,Transport
upi myntra fashion purchase txn,Shopping
payment electricity bill payment txn,Utilities
payment swiggy food order payment,Food
pos meesho online order txn,Shopping
bank upi payment to contact txn,Transfer
pos atm withdrawal debit payment,Cash Withdrawal
payment water bill paid charge,Utilities
card upi payment to contact debit,Transfer
txn bus ticket id,Transport
pos atm cash withdrawal ref,Cash Withdrawal
payment atm wdl debit,Cash Withdrawal
payment atm wdl ref,Cash Withdrawal
bank cash withdrawal atm charge,Cash Withdrawal
bank cash withdrawn from atm payment,Cash Withdrawal
upi atm withdrawal debit charge,Cash Withdrawal
card interest credited payment,Other
txn water bill paid debit,Utilities
upi food delivery charge ref,Food
pos neft transfer charge,Transfer
pos amazon order txn,Shopping
txn dinner at restaurant id,Food
txn broadband payment payment,Utilities
bank swiggy food order debit,Food
card shopping mall purchase txn,Shopping
txn wifi bill debit,Utilities
payment uber ride payment,Transport
bank food delivery charge charge,Food
bank atm cash withdrawal charge,Cash Withdrawal
upi taxi fare payment ref,Transport
bank jio recharge id,Utilities
txn ajio clothing order charge,Shopping
pos salary credit payment,Other
card money sent to account id,Transfer
bank broadband payment payment,Utilities
pos dinner at restaurant payment,Food
card jio recharge ref,Utilities
pos wifi bill payment,Utilities
debit atm txn id,Cash Withdrawal
pos mobile recharge payment charge,Utilities
debit zomato food order id,Food
upi online shopping payment charge,Shopping
upi dinner at restaurant txn,Food
debit atm withdrawal debit debit,Cash Withdrawal
upi uber ride txn,Transport
payment unknown transaction ref,Other
upi salary credit txn,Other
upi online shopping payment payment,Shopping
card taxi fare payment debit,Transport
bank imps transfer debit,Transfer
upi uber ride charge,Transport
bank restaurant bill payment ref,Food
pos refund received txn,Other
payment broadband payment debit,Utilities
bank lunch payment ref,Food
bank food delivery charge payment,Food
payment zomato food order charge,Food
payment salary credit charge,Other
pos cashback credited charge,Other
upi mobile recharge payment charge,Utilities
bank cash withdrawn from atm ref,Cash Withdrawal
upi cashback credited txn,Other
bank electricity bill payment ref,Utilities
upi zomato food order payment,Food
upi electricity bill payment id,Utilities
upi atm wdl txn,Cash Withdrawal
pos uber ride id,Transport
debit online shopping payment charge,Shopping
upi meesho online order id,Shopping
payment shopping mall purchase payment,Shopping
payment restaurant bill payment id,Food
upi cafe bill id,Food
txn cash withdrawal atm payment,Cash Withdrawal
bank gas bill transaction id,Utilities
txn food delivery charge charge,Food
card jio recharge charge,Utilities
debit jio recharge id,Utilities
card zomato food order ref,Food
debit dinner at restaurant charge,Food
bank dinner at restaurant debit,Food
payment online shopping payment ref,Shopping
upi food delivery charge id,Food
txn restaurant bill payment payment,Food
txn money sent to account ref,Transfer
txn swiggy food order id,Food
debit money sent to account id,Transfer
debit lunch payment payment,Food
debit ola cab ride txn,Transport
txn water bill paid debit,Utilities
pos jio recharge txn,Utilities
bank flipkart order ref,Shopping
debit dinner at restaurant charge,Food
payment atm cash withdrawal ref,Cash Withdrawal
pos myntra fashion purchase ref,Shopping
card water bill paid id,Utilities
payment electricity bill payment ref,Utilities
upi unknown transaction debit,Other
payment metro ticket payment charge,Transport
bank salary credit ref,Other
upi meesho online order ref,Shopping
pos auto rickshaw ride ref,Transport
payment lunch payment payment,Food
pos flipkart order txn,Shopping
debit fund transfer ref,Transfer
txn cab booking charge id,Transport
card ola cab ride id,Transport
card refund received debit,Other
payment flipkart order debit,Shopping
txn bus ticket debit,Transport
pos refund received txn,Other
bank online shopping payment charge,Shopping
bank cashback credited ref,Other
card imps transfer id,Transfer
pos wifi bill id,Utilities
debit auto rickshaw ride txn,Transport
txn shopping mall purchase payment,Shopping
txn salary credit id,Other
txn meesho online order debit,Shopping
pos jio recharge charge,Utilities
payment bus ticket payment,Transport
debit neft transfer debit,Transfer
txn flipkart order payment,Shopping
debit myntra fashion purchase txn,Shopping
bank reward points credit txn,Other
upi metro ticket payment id,Transport
debit cash withdrawal atm payment,Cash Withdrawal
payment uber ride txn,Transport
upi ajio clothing order payment,Shopping
bank atm withdrawal debit id,Cash Withdrawal
card imps transfer id,Transfer
bank myntra fashion purchase id,Shopping
pos taxi fare payment id,Transport
card upi transfer to friend txn,Transfer
txn uber ride id,Transport
txn neft transfer txn,Transfer
upi ajio clothing order txn,Shopping
bank shopping mall purchase txn,Shopping
upi unknown transaction debit,Other
upi upi transfer to friend ref,Transfer
payment upi transfer to friend payment,Transfer
debit restaurant bill payment txn,Food
pos zomato food order debit,Food
txn jio recharge payment,Utilities
payment gas bill transaction payment,Utilities
bank food delivery charge ref,Food
debit meesho online order charge,Shopping
debit bank transfer debit ref,Transfer
debit interest credited ref,Other
pos auto rickshaw ride payment,Transport
upi cash withdrawn from atm charge,Cash Withdrawal
bank swiggy food order id,Food
bank reward points credit txn,Other
pos atm wdl payment,Cash Withdrawal
upi imps transfer txn,Transfer
bank bus ticket payment,Transport
debit atm cash withdrawal charge,Cash Withdrawal
debit auto rickshaw ride debit,Transport
upi lunch payment id,Food
debit cash withdrawal atm debit,Cash Withdrawal
txn shopping mall purchase charge,Shopping
card unknown transaction debit,Other
txn lunch payment ref,Food
card cab booking charge payment,Transport
upi neft transfer ref,Transfer
upi upi payment to contact charge,Transfer
bank gas bill transaction txn,Utilities
payment electricity bill payment debit,Utilities
upi upi payment to contact payment,Transfer
debit cashback credited ref,Other
bank meesho online order debit,Shopping
upi lunch payment txn,Food
debit flipkart order charge,Shopping
card food delivery charge id,Food
card myntra fashion purchase debit,Shopping
payment lunch payment txn,Food
txn cashback credited id,Other
txn mobile recharge payment ref,Utilities
debit metro ticket payment txn,Transport
upi money sent to account ref,Transfer
payment ajio clothing order id,Shopping
card fund transfer id,Transfer
debit bus ticket ref,Transport
debit dinner at restaurant ref,Food
debit cafe bill txn,Food
payment cafe bill payment,Food
pos uber ride debit,Transport
debit gas bill transaction payment,Utilities
card zomato food order ref,Food
card imps transfer debit,Transfer
pos upi payment to contact debit,Transfer
debit atm wdl debit,Cash Withdrawal
txn interest credited ref,Other
payment cab booking charge debit,Transport
upi salary credit charge,Other
debit dinner at restaurant debit,Food
upi refund received charge,Other
card restaurant bill payment ref,Food
upi refund received charge,Other
upi auto rickshaw ride charge,Transport
txn gas bill transaction charge,Utilities
card atm cash withdrawal payment,Cash Withdrawal
debit interest credited txn,Other
txn upi transfer to friend id,Transfer
txn food delivery charge payment,Food
txn imps transfer charge,Transfer
debit bus ticket txn,Transport
payment auto rickshaw ride id,Transport
pos shopping mall purchase id,Shopping
pos cash withdrawn from atm charge,Cash Withdrawal
payment reward points credit ref,Other
card auto rickshaw ride debit,Transport
bank zomato food order id,Food
debit wifi bill charge,Utilities
bank neft transfer id,Transfer
txn meesho online order ref,Shopping
bank meesho online order ref,Shopping
pos water bill paid ref,Utilities
card ajio clothing order debit,Shopping
upi upi payment to contact txn,Transfer
debit money sent to account debit,Transfer
upi myntra fashion purchase charge,Shopping
pos swiggy food order ref,Food
upi upi transfer to friend debit,Transfer
upi dinner at restaurant ref,Food
bank meesho online order id,Shopping
debit cafe bill txn,Food
payment broadband payment payment,Utilities
upi uber ride id,Transport
bank unknown transaction charge,Other
pos unknown transaction id,Other
bank atm withdrawal debit id,Cash Withdrawal
upi gas bill transaction txn,Utilities
txn dinner at restaurant txn,Food
bank wifi bill payment,Utilities
upi mobile recharge payment charge,Utilities
debit auto rickshaw ride txn,Transport
txn electricity bill payment payment,Utilities
debit uber ride charge,Transport
pos metro ticket payment payment,Transport
upi cash withdrawal atm debit,Cash Withdrawal
txn lunch payment ref,Food
payment uber ride charge,Transport
bank zomato food order id,Food
debit gas bill transaction payment,Utilities
pos uber ride txn,Transport
txn atm cash withdrawal charge,Cash Withdrawal
pos upi payment to contact id,Transfer
debit jio recharge ref,Utilities
txn myntra fashion purchase debit,Shopping
pos food delivery charge ref,Food
txn refund received txn,Other
txn cash withdrawal atm charge,Cash Withdrawal
payment online shopping payment ref,Shopping
txn ola cab ride id,Transport
debit jio recharge id,Utilities
bank metro ticket payment payment,Transport
txn shopping mall purchase debit,Shopping
pos swiggy food order charge,Food
upi upi payment to contact charge,Transfer
txn restaurant bill payment id,Food
pos taxi fare payment txn,Transport
upi bank transfer debit debit,Transfer
upi taxi fare payment ref,Transport
upi ola cab ride txn,Transport
debit bus ticket debit,Transport
upi swiggy food order txn,Food
payment fund transfer charge,Transfer
card shopping mall purchase txn,Shopping
card restaurant bill payment debit,Food
debit money sent to account txn,Transfer
txn amazon order charge,Shopping
upi myntra fashion purchase ref,Shopping
card mobile recharge payment debit,Utilities
debit bus ticket txn,Transport
pos atm wdl id,Cash Withdrawal
pos bank transfer debit txn,Transfer
pos lunch payment payment,Food
payment flipkart order charge,Shopping
debit atm wdl txn,Cash Withdrawal
bank metro ticket payment payment,Transport
card myntra fashion purchase id,Shopping
bank swiggy food order id,Food
bank imps transfer id,Transfer
card money sent to account txn,Transfer
card water bill paid payment,Utilities
debit neft transfer charge,Transfer
card meesho online order ref,Shopping
bank meesho online order txn,Shopping
payment reward points credit txn,Other
card upi payment to contact payment,Transfer
debit zomato food order debit,Food
debit auto rickshaw ride id,Transport
pos atm cash withdrawal payment,Cash Withdrawal
payment upi payment to contact txn,Transfer
debit metro ticket payment txn,Transport
txn money sent to account ref,Transfer
pos swiggy food order txn,Food
debit upi transfer to friend debit,Transfer
upi money sent to account ref,Transfer
debit gas bill transaction ref,Utilities
bank cafe bill ref,Food
upi shopping mall purchase payment,Shopping
txn myntra fashion purchase debit,Shopping
payment atm wdl id,Cash Withdrawal
bank meesho online order charge,Shopping
bank refund received id,Other
debit atm cash withdrawal debit,Cash Withdrawal
bank fund transfer txn,Transfer
bank shopping mall purchase debit,Shopping
pos atm wdl payment,Cash Withdrawal
txn restaurant bill payment id,Food
debit cab booking charge payment,Transport
card cash withdrawn from atm txn,Cash Withdrawal
pos bus ticket id,Transport
txn flipkart order ref,Shopping
upi cashback credited ref,Other
txn online shopping payment id,Shopping
payment cab booking charge id,Transport
txn restaurant bill payment ref,Food
debit ajio clothing order txn,Shopping
payment salary credit id,Other
pos bus ticket payment,Transport
txn meesho online order txn,Shopping
payment fund transfer txn,Transfer
payment atm txn txn,Cash Withdrawal
debit cafe bill txn,Food
payment atm cash withdrawal payment,Cash Withdrawal
payment metro ticket payment debit,Transport
upi cash withdrawal atm charge,Cash Withdrawal
bank lunch payment ref,Food
upi fund transfer id,Transfer
txn atm wdl id,Cash Withdrawal
upi cash withdrawal atm payment,Cash Withdrawal
payment interest credited debit,Other
payment zomato food order payment,Food
bank fund transfer txn,Transfer
card atm wdl debit,Cash Withdrawal
card cashback credited id,Other
pos uber ride payment,Transport
payment swiggy food order ref,Food
upi dinner at restaurant payment,Food
card imps transfer ref,Transfer
txn amazon order charge,Shopping
card imps transfer ref,Transfer
upi dinner at restaurant debit,Food
bank salary credit ref,Other
txn auto rickshaw ride id,Transport
card bus ticket debit,Transport
txn fund transfer payment,Transfer
payment ola cab ride txn,Transport
upi taxi fare payment debit,Transport
txn auto rickshaw ride id,Transport
pos salary credit debit,Other
payment ajio clothing order ref,Shopping
upi cash withdrawal atm payment,Cash Withdrawal
debit gas bill transaction charge,Utilities
card fund transfer charge,Transfer
txn bank transfer debit ref,Transfer
debit amazon order txn,Shopping
pos atm txn txn,Cash Withdrawal
debit atm cash withdrawal txn,Cash Withdrawal
card neft transfer ref,Transfer
payment uber ride payment,Transport
debit cash withdrawn from atm ref,Cash Withdrawal
card cash withdrawal atm ref,Cash Withdrawal
payment amazon order txn,Shopping
pos cash withdrawal atm debit,Cash Withdrawal
debit imps transfer ref,Transfer
bank zomato food order id,Food
upi auto rickshaw ride txn,Transport
txn taxi fare payment ref,Transport
card unknown transaction payment,Other
txn swiggy food order txn,Food
bank cafe bill ref,Food
pos refund received charge,Other
card cash withdrawal atm txn,Cash Withdrawal
pos imps transfer id,Transfer
debit bank transfer debit charge,Transfer
upi reward points credit ref,Other
card cashback credited charge,Other
upi ola cab ride txn,Transport
card cash withdrawal atm txn,Cash Withdrawal
debit atm withdrawal debit charge,Cash Withdrawal
bank unknown transaction txn,Other
pos metro ticket payment ref,Transport
txn cash withdrawn from atm id,Cash Withdrawal
debit food delivery charge ref,Food
upi atm wdl charge,Cash Withdrawal
upi cash withdrawn from atm id,Cash Withdrawal
upi upi payment to contact txn,Transfer
bank cashback credited txn,Other
txn atm cash withdrawal payment,Cash Withdrawal
debit atm withdrawal debit id,Cash Withdrawal
bank interest credited charge,Other
bank restaurant bill payment txn,Food
pos atm txn ref,Cash Withdrawal
payment cafe bill charge,Food
bank auto rickshaw ride ref,Transport
bank amazon order ref,Shopping
bank swiggy food order payment,Food
card atm txn payment,Cash Withdrawal
txn food delivery charge payment,Food
bank wifi bill charge,Utilities
bank salary credit id,Other
pos restaurant bill payment id,Food
txn cafe bill debit,Food
pos cash withdrawal atm txn,Cash Withdrawal
txn atm cash withdrawal debit,Cash Withdrawal
bank bus ticket debit,Transport
debit jio recharge id,Utilities
upi atm withdrawal debit id,Cash Withdrawal
upi meesho online order payment,Shopping
payment salary credit txn,Other
bank flipkart order payment,Shopping
card wifi bill ref,Utilities
card flipkart order payment,Shopping
bank cash withdrawn from atm charge,Cash Withdrawal
pos ola cab ride ref,Transport
upi uber ride txn,Transport
pos salary credit id,Other
pos salary credit ref,Other
card uber ride txn,Transport
debit bank transfer debit charge,Transfer
upi wifi bill debit,Utilities
payment neft transfer debit,Transfer
txn dinner at restaurant id,Food
txn cafe bill ref,Food
bank meesho online order ref,Shopping
payment reward points credit id,Other
payment neft transfer payment,Transfer
pos meesho online order ref,Shopping
card bank transfer debit payment,Transfer
txn zomato food order payment,Food
txn water bill paid txn,Utilities
upi atm withdrawal debit ref,Cash Withdrawal
pos neft transfer payment,Transfer
upi cashback credited payment,Other
debit uber ride charge,Transport
debit ajio clothing order charge,Shopping
bank flipkart order charge,Shopping
txn online shopping payment charge,Shopping
bank fund transfer id,Transfer
payment refund received id,Other
payment jio recharge payment,Utilities
txn lunch payment debit,Food
payment auto rickshaw ride ref,Transport
debit imps transfer id,Transfer
payment flipkart order ref,Shopping
payment flipkart order txn,Shopping
debit unknown transaction id,Other
upi fund transfer debit,Transfer
payment atm withdrawal debit debit,Cash Withdrawal
debit imps transfer id,Transfer
pos money sent to account id,Transfer
card metro ticket payment payment,Transport
bank interest credited debit,Other
bank flipkart order ref,Shopping
debit cash withdrawn from atm id,Cash Withdrawal
debit gas bill transaction charge,Utilities
txn flipkart order debit,Shopping
debit gas bill transaction id,Utilities
